0,地址,名称,维度,经度,类型
157,,虎踞路·汉中门(公交站),32.04595258753803,118.7590542964658,公交站
158,,莫愁路北(公交站),32.04148040034484,118.77001835628852,公交站
159,,钟阜路(公交站),32.089890976236596,118.76369930232886,公交站
160,,新庄广场南(公交站),32.07783775407445,118.80490559066646,公交站
161,,察哈尔路(公交站),32.07932380673549,118.75032691256884,公交站
162,,钟阜路(市第二医院)(公交站),32.090292298061726,118.76404252736349,公交站
163,,金桥市场(公交站),32.092607289437765,118.7728856769352,公交站
164,,锁金村(公交站),32.073674830713024,118.80715348079278,公交站
165,,新街口·正洪街(公交站),32.04066980858034,118.78240869685408,公交站
166,,新街口(公交站),32.04066980858034,118.78240869685408,公交站
167,,玉桥商业广场(公交站),32.093044501549855,118.77494801518941,公交站
168,,大行宫东(公交站),32.04296180163514,118.79199871285016,公交站
169,,龙蟠中路·小营(公交站),32.049173078624804,118.80121599705593,公交站
170,,钟阜路·城河村(公交站),32.09175498874811,118.76593592401035,公交站
171,,石头城南(公交站),32.06270569740844,118.74575504384207,公交站
172,,萨家湾(公交站),32.083868282620365,118.75247099739542,公交站
173,,王府大街(公交站),32.03965653053114,118.7737004871971,公交站
174,,石头城路(公交站),32.06604542482279,118.74512475035752,公交站
175,,中山北路·萨家湾(公交站),32.08394827474055,118.7523799644506,公交站
176,,丁山宾馆(公交站),32.079434564905114,118.74870965348507,公交站
177,,新庄广场北(公交站),32.08151457989152,118.80435516081087,公交站
178,,虎踞南路·汉中门(公交站),32.04253937762798,118.76179531468972,公交站
179,,罗廊巷(公交站),32.041076595008114,118.76552126097691,公交站
180,,铁路北街南(公交站),32.08628047722483,118.7546304849099,公交站
181,,定淮门(公交站),32.071207551680764,118.74513927179476,公交站
182,,曹后村西(公交站),32.086756627531415,118.79963853121862,公交站
183,,龙蟠路·岗子村(公交站),32.06914657554502,118.8097842585623,公交站
184,,秣陵路(公交站),32.03930734094417,118.77156215618521,公交站
185,,中央门北(公交站),32.09431398594047,118.780386895157,公交站
186,,新庄广场东(公交站),32.080883335748084,118.80543336294551,公交站
187,,红山南路西(公交站),32.0927458967273,118.78878473325273,公交站
188,,南京站·北广场西(公交站),32.09158384392076,118.79227471517468,公交站
189,,大行宫南(公交站),32.04050250108369,118.78880157112741,公交站
190,,凤凰街(公交站),32.04453625051889,118.75693232595901,公交站
191,,石头城北(公交站),32.06739974045804,118.74417868127867,公交站
192,,察哈尔路西(公交站),32.077582968967846,118.74659567238702,公交站
193,,南京站·北广场东(公交站),32.09058740179195,118.7947000735727,公交站
194,,新街口南(公交站),32.03844504279327,118.77894809901828,公交站
195,,城河村(公交站),32.09378613819034,118.76808965289062,公交站
196,,小红山(公交站),32.08981913296774,118.79651142194174,公交站
197,,凤凰东街·清凉门大街(公交站),32.0469343433106,118.75300857381474,公交站
198,,秣陵路东(公交站),32.03820792866521,118.7744034345288,公交站
199,,淮海路东(公交站),32.038872790694406,118.78498368552846,公交站
200,,中山东路·逸仙桥(毗卢寺)(公交站),32.04262079223032,118.79588161281063,公交站
201,,王府大街·秣陵路(公交站),32.03803014941845,118.7726925020499,公交站
202,,运盛花园(公交站),32.06929220749709,118.74322460262768,公交站
203,,黄家圩(公交站),32.09337023202004,118.79029017004007,公交站
204,,白马公园(公交站),32.06043814949599,118.81060274148531,公交站
205,,佳盛花园(公交站),32.07066950087712,118.7433164640418,公交站
206,,中山东路·逸仙桥(公交站),32.04264368182726,118.79643161233777,公交站
207,,堂子街(公交站),32.039340168465735,118.76547538329605,公交站
208,,龙蟠中路·毗卢寺(公交站),32.04458775398451,118.7998558166603,公交站
209,,龙园东路·草场门大街(公交站),32.0638550529973,118.74279016330674,公交站
210,,南医大二附院东院(公交站),32.085428180830355,118.75067741612597,公交站
211,,马标(公交站),32.047547970517975,118.80369296980986,公交站
212,,羊皮巷(公交站),32.0373764123797,118.78189726570534,公交站
213,,户部街(公交站),32.03743327862754,118.78409747902047,公交站
214,,铁路北街(公交站),32.08878364759254,118.75356187604812,公交站
215,,曹后村(公交站),32.086653010703785,118.803398802552,公交站
216,,科巷(公交站),32.03989566800653,118.7930157581717,公交站
217,,曹后村(西)(公交站),32.08665722350835,118.80352104245047,公交站
218,,杨公井(公交站),32.038052853244245,118.78804055984995,公交站
219,,程阁老巷(公交站),32.0366573654368,118.78038420878455,公交站
220,,双门楼宾馆(公交站),32.084577651638455,118.74861716628182,公交站
221,,杨公井(八一医院)(公交站),32.03777060362904,118.78791037591019,公交站
222,,凤凰东街·北圩路(公交站),32.05181328959958,118.74601105058096,公交站
223,,清凉门大街东(公交站),32.04790666078434,118.74887259182984,公交站
224,,龙园东路·龙园南路(公交站),32.0566284187673,118.7432567711563,公交站
225,,凤凰西街(公交站),32.04483161820855,118.75210050869084,公交站
226,,板仓街·岗子村(公交站),32.06966462422302,118.8130329400971,公交站
227,,莫愁路·朝天宫(公交站),32.03691241691937,118.76894271748787,公交站
228,,朝天宫西街(公交站),32.036980519401766,118.76786569445014,公交站
229,,华严岗门站(公交站),32.07671384208456,118.74291095572484,公交站
230,,汉中门大街东(公交站),32.04168114160725,118.75582509117133,公交站
231,,王府大街·朝天宫(公交站),32.035983392930916,118.77135624431864,公交站
232,,安怀村(公交站),32.09719111999028,118.78394674589224,公交站
