地址,名称,维度,经度,类型
,高淳(地铁站),31.340956,118.877193,地铁站
,山西路(地铁站),32.068564,118.772919,地铁站
,虹桥(地铁站),32.074356,118.766322,地铁站
,五台山(地铁站),32.050434,118.776181,地铁站
,广州路(地铁站),32.049073,118.769640,地铁站
,古平岗(地铁站),32.071245,118.757380,地铁站
,南艺·二师·草场门(地铁站),32.059345,118.755886,地铁站
,福建路(地铁站),32.080166,118.759600,地铁站
,清凉山(地铁站),32.048357,118.759248,地铁站
,金桥市场(地铁站),32.090469,118.779904,地铁站
,城河村(地铁站),32.092220,118.771912,地铁站
,马标(地铁站),32.045657,118.805737,地铁站
,盐仓桥(地铁站),32.086112,118.751823,地铁站
,嫩江路(地铁站),32.046234,118.748132,地铁站
,曹后村(地铁站),32.084976,118.809384,地铁站
,朝天宫(地铁站),32.032741,118.773124,地铁站
,定淮门大街(地铁站),32.065108,118.738846,地铁站
,农贸中心(地铁站),32.075622,118.740759,地铁站
,大桥南路(地铁站),32.093435,118.754616,地铁站
,富贵山(地铁站),32.052323,118.819644,地铁站
,南湖路(地铁站),32.032244,118.757395,地铁站
,下关(地铁站),32.087026,118.742368,地铁站
,管子桥(地铁站),32.046548,118.739228,地铁站
,长途东站(地铁站),32.083127,118.821763,地铁站
,黄方村(地铁站),32.104896,118.770581,地铁站
,汉中门大街(地铁站),32.039652,118.738749,地铁站
,建宁路(地铁站),32.092175,118.737766,地铁站
,乐山路(地铁站),32.046891,118.730778,地铁站
,丹霞路(地铁站),32.095407,118.818492,地铁站
,南京西站(地铁站),32.095929,118.739966,地铁站
,省第二中医院(地铁站),32.024423,118.754730,地铁站
,大中桥(地铁站),32.025099,118.806775,地铁站
,方家营(地铁站),32.102980,118.745470,地铁站
,月牙湖(地铁站),32.031388,118.822105,地铁站
,鼓楼科技园(地铁站),32.034772,118.729398,地铁站
,光华门(地铁站),32.023367,118.815963,地铁站
,窑上村(地铁站),32.114463,118.800210,地铁站
,应天大街(地铁站),32.017475,118.749865,地铁站
,营苑南路(地铁站),32.102676,118.831777,地铁站
,康安里(地铁站),32.011296,118.807089,地铁站
,后标营(地铁站),32.028940,118.834609,地铁站
,中和桥(地铁站),32.013000,118.812736,地铁站
,清河路(地铁站),32.032810,118.718233,地铁站
,小天堂(地铁站),32.019167,118.827181,地铁站
,晓庄(地铁站),32.116886,118.817846,地铁站
,大校场路(地铁站),32.007118,118.811392,地铁站
,七桥瓮(地铁站),32.009276,118.825372,地铁站
