地址,名称,维度,经度,类型
新街口金銮巷2号,南京市第三高级中学(金銮校区),32.035718,118.785615,学校
中央北路与和燕路交叉口西南100米,南京市小市中心小学西校区,32.09606,118.78423,学校
同仁西街16号,同仁小学,32.051702,118.786249,学校
紫竹林路与许府巷交叉口东北50米,南京田家炳高级中学厚载楼(艺术楼),32.083702,118.776535,学校
新模范马路66号(近中山北路),南京邮电大学三牌楼校区,32.080728,118.77037,学校
中山北路200号,南京工业大学虹桥校区,32.074621,118.768319,学校
水西门大街122号,南京市莫愁湖小学,32.032168,118.764307,学校
汉中路8号金轮新天地7层,南京伽合瑜伽普拉提培训学院(新街口店),32.042559,118.780202,学校
玉泉路与钱塘路交叉口西50米,江苏教育学院附属高级中学(玉泉路),32.058480,118.766415,学校
青岛路32号,南京大学附属中学,32.052395,118.777683,学校
中山东路三条巷8号,南京市五老村小学(崇实校区),32.034757,118.800677,学校
富丽山庄40幢,南京郑和外国语学校,32.028535,118.833469,学校
湖西街28号,南京市南湖第二中学,32.029193,118.74746,学校
中央门外晓庄村40号,南京卫生高等职业技术学校,32.119626,118.812659,学校
苜军路6号6栋联勤部干休所,南京市中山小学,32.036344,118.833972,学校
边营86号,南京市马道街小学,32.009905,118.790245,学校
两江路与六朝松路交叉口北50米,东南大学MFA教学场地,32.057320,118.795331,学校
汉口路22号南京大学鼓楼校区,南京大学鼓楼校区人工微结构与量子调控协同创新中心访问学者办公室,32.054623,118.778414,学校
汉口路22号南京大学,南京大学鼓楼校区大学外语部,32.056232,118.777714,学校
湖南路街道汉口路22号,中共南京大学委员会统一战线工作部,32.055422,118.780658,学校
汉口路22号南京大学,南京大学鼓楼校区外国语学院语言教学中心,32.056232,118.777714,学校
汉口路22号南京大学,南京大学鼓楼校区逸夫馆,32.056431,118.777564,学校
汉口路22号,南京大学鼓楼校区国际合作与交流处,32.054853,118.780061,学校
中山北路200号,南京大学鼓楼校区审计处,32.057192,118.780026,学校
汉口西路22号,南京大学鼓楼校区老干部处,32.055814,118.779338,学校
中山北路200号,南京大学鼓楼校区社会科学处,32.057174,118.780067,学校
汉口路22号南京大学,南京大学鼓楼校区·国际教育国际高等教育文凭(HND)中心,32.056232,118.777714,学校
进香河路35号,东南大学四牌楼校区河海院,32.056576,118.791480,学校
新模范马路66号南京邮电大学三牌楼校区,南京邮电大学综合科研大楼,32.083067,118.771160,学校
上海路203-207号,江苏国际预科学院(上海路),32.057482,118.773104,学校
汉口路22号,南京大学鼓楼校区研究生院,32.054975,118.779748,学校
北京东路43号33楼3层,南京中华文化学院,32.058419,118.797808,学校
鸡鸣寺路1号,亚太管理学院南京分部,32.058536,118.794265,学校
中央门和燕路1号1,南京市建宁小学,32.096463,118.786539,学校
梅园新村街道大悲巷12号,南京市人民中学初中部,32.048824,118.784951,学校
察哈尔路37号,南京师范大学附属中学,32.077712,118.756902,学校
中山路178号,南京市人民中学,32.048913,118.785368,学校
珠江路280号珠江大厦,东南大学四牌楼校区健雄院,32.055534,118.795292,学校
四牌楼2号,东南大学四牌楼校区逸夫建筑馆,32.054991,118.795537,学校
东井亭100-3号,南京求真中学,32.098644,118.799201,学校
虎踞路175-1号,江苏省国画院,32.055975,118.755113,学校
中心村130号,金陵科技学院幕府校区,32.122998,118.812144,学校
建宁路333号,天妃宫小学,32.091235,118.739581,学校
黑龙江路2-22号附近,中小学课外提优,32.087369,118.780323,学校
朗晴名居往东,南京市龙江小学力学分校,32.064819,118.74576,学校
四牌楼2号(近成贤街),东南大学四牌楼校区,32.054169,118.795212,学校
宁海路122号,南京师范大学随园校区,32.053198,118.767659,学校
清水亭东路1号,江宁开发区学校,31.9185,118.827827,学校
洪武北路133号,南京广播电视大学继续教育学院夜校部,32.047112,118.788857,学校
洪武路九条巷8号,南京市钟英中学,32.031891,118.785211,学校
田家炳高级中学内,南京田家炳高级中学创生楼,32.084774,118.777308,学校
办公楼5号,南京林业大学研究生党工委,32.078812,118.814073,学校
宁海路122号,田家炳教育书院,32.052176,118.767864,学校
中央商务区水西门大街345号,乐博艺术培训学校,32.033856,118.741934,学校
模范马路65附近,南京邮电大学三牌楼校区物联网广场,32.078539,118.770858,学校
中央门街道新模范马路66号,南京邮电大学物联网广场,32.078721,118.770907,学校
马府街45号,南京市五老村小学马府街分校,32.030065,118.792866,学校
龙蟠路159号,南京林业大学,32.078616,118.816935,学校
东井村,鼓楼区第二实验小学,32.099178,118.801799,学校
汉口西路134号附近,南京师范大学自学考试办公室,32.054579,118.768771,学校
宁海路与广州路交叉口西150米,南京师范大学随园校区MBA教育中心,32.051794,118.770325,学校
太平北路122号,东南大学-研究生会,32.052960,118.798751,学校
铁路北街128号,南京财经大学福建路校区,32.08627,118.761716,学校
集庆路167号,南京市凤游寺小学,32.018217,118.771754,学校
凤凰街凤凰庄4号,南京市二十九中教育集团致远校区,32.042077,118.760425,学校
梅花街与茶花巷交叉口东北50米,南京晓庄学院音乐学院学工办,32.036861,118.750586,学校
龙蟠路151-2号,南京市小营小学(科利华分校),32.081426,118.806313,学校
宁海路122号,南京师范大学随园校区金陵女子学院南京校友会,32.052098,118.769336,学校
富丽山庄16幢,月牙湖小学,32.026472,118.836406,学校
中山路与高家酒馆交叉口北100米,南京大学实验中学,32.048378,118.783709,学校
中央门外和燕路438号,南京市伯乐中学,32.122815,118.82766,学校
萨家湾花苑46号,南京市鼓楼中等专业学校,32.084276,118.758098,学校
秦虹街道武定新村2号,南京市武定新村小学,32.01073,118.804034,学校
东牌楼74号,南京市财经学校,32.018385,118.786159,学校
凤凰西街226号,南京市凤凰花园城小学(聚泽园校区),32.041987,118.740339,学校
汉口路22号,南京大学鼓楼校区财务处,32.053320,118.781020,学校
