地址,名称,维度,经度,类型
楠溪江东街82号,缤纷汇购物广场,31.993266,118.729903,商场
,欧洲城·凯旋明珠商业广场,32.009396,118.735062,商场
软件大道3号,郁金香华联商厦,31.984665,118.798017,商场
卡子门大街99号,复地宴南都·活力广场,31.98179,118.803657,商场
中央北路河路道1号,喜年花生唐,32.097655,118.779514,商场
文苑路8号,东城汇,32.097537,118.909043,商场
幕府西路29号,仪之宝测绘商城,32.106730,118.772829,商场
文枢东路7号,晴天美食广场,32.096995,118.913561,商场
将军大道9号托乐嘉购物小镇,托乐嘉商城,31.944548,118.785447,商场
夫子庙街道平江府路199号,蕴金商业广场,32.016138,118.792724,商场
仙隐北路12号,亚东商业广场,32.092244,118.908111,商场
江东中路341号河西中央公园,金源广场(楠溪江东街),31.994833,118.725200,商场
铁心桥春江新城秦河坊2幢101号,淘乐迪购物广场,31.960774,118.750170,商场
软件大道109号(软件大道与安德门大街交汇处),EPARK,31.978731,118.763953,商场
仙林街道学衡路9号,爱尚街区,32.094678,118.915395,商场
华电路1号万谷·慧生活广场B1,万谷慧生活,32.102110,118.813178,商场
梦都大街126号-1,紫鑫中华广场商铺,32.012810,118.729870,商场
夫子庙街道平江府路199号(夫子庙大市场对面),蕴金广场,32.016014,118.792767,商场
兴隆大街209号,好邻居生活广场(顺驰店),32.019562,118.720941,商场
双龙大道1351号(胜太路地铁站1号口出口),同曦·万尚城,31.942417,118.822225,商场
中央门建宁路5号,华东国际美博城,32.089834,118.781083,商场
庐山路158号嘉业国际城内(近奥体大街),嘉业国际城购物中心,32.000069,118.728372,商场
河西大街230号(近黄山路),南京台湾名品城,32.001558,118.715358,商场
江浦街道文德路1号,文峰购物中心(浦口店),32.056084,118.625140,商场
双龙大道1539号,21世纪太阳城购物中心,31.9272,118.823154,商场
宏运大道1890号纳尔达斯大酒店,纳尔达斯大酒店商务中心,31.964633,118.820674,商场
双龙大道1688号金鹰天地广场LG1层,金鹰天地广场(江宁店),31.931642,118.820915,商场
双龙大道1698号,景枫KINGMO,31.929916,118.820201,商场
学海路28号,南邮广场,32.120379,118.92515,商场
花港路,中南·乐尚街,32.037207,118.910662,商场
