地址,名称,维度,经度,类型
普德新村街道,普德花园西区,32.003442,118.773674,小区
共青团路与军转干路交叉口西北150米,能仁里三村,32.001484,118.773842,小区
秦虹南路168号,良城美景,32.007609,118.804954,小区
共青团路,共青团路一村,31.998375,118.774811,小区
甘露巷与饮马巷交叉口西南100米,六角井40号,32.013559,118.778917,小区
永乐路41号,南京市红十字会阳光里小区衣物捐赠箱,31.996529,118.803541,小区
二号路与雨花新村二号路交叉口东南100米,共青团路住宅,31.998336,118.774792,小区
,康业里小区,32.005041,118.805736,小区
中牌楼东153号,都市228,32.002179,118.805812,小区
文安街35号,天安里小区,32.011546,118.802773,小区
军师巷56号,军师巷小区,32.016034,118.783175,小区
琵琶巷24-36号,琵琶小区,32.017186,118.790293,小区
中山南路659号东100米,六角井42号,32.013489,118.778606,小区
康居西路与文安东街交叉口西南150米,丁家园15号,32.009098,118.804487,小区
中山南路663号东90米,六角井61号,32.013419,118.778482,小区
雨花玉兰路2号(公交车站),仁恒玉兰山庄,31.990492,118.784157,小区
文安街,文安里小区,32.011862,118.802594,小区
永乐路33号东北60米,阳光郝警,31.996407,118.803765,小区
中山南路661号东80米,六角井57号,32.013454,118.778371,小区
中山南路与西干长巷交叉口东100米,六角井50号,32.013479,118.778386,小区
宁南新区玉兰路5号,仁恒翠竹园3期,31.989558,118.790085,小区
中山南路655号东90米,六角井48号,32.013666,118.778548,小区
共青团路28号,北园,31.996383,118.775530,小区
乌衣巷15号附近,糟坊园8号,32.017325,118.791652,小区
钞库街与武定桥交叉口南50米,喜乐家园,32.017248,118.786605,小区
长乐路琵琶小区,糟坊园,32.017422,118.791473,小区
雨花西路75号,广厦嘉苑,32.002912,118.772803,小区
共青团路51号,共青团路51号大院,31.995027,118.776012,小区
龙蟠中路530-5号,亚都公寓,32.015889,118.798252,小区
共青团路56号,能仁里二村,32.000491,118.772994,小区
紫荆花路,南京市红十字会仁恒翠竹园小区衣物捐赠箱,31.988986,118.790382,小区
二化机厂路东100米,能仁里1号,32.001355,118.772776,小区
秦虹路98号,武定新村-北区,32.011990,118.803520,小区
大明路208号,曙光里,32.000668,118.80652,小区
西石坝街27号,南京市红十字会西石坝街27号院小区衣物捐赠箱,32.017679,118.793212,小区
中山南路与甘露巷交叉口东50米,甘露巷住宅区,32.014573,118.778591,小区
一品嘉园12幢听鹤轩,一品嘉园-12幢(听鹤轩),32.018005,118.790867,小区
龙蟠中路,酿化厂宿舍小区,32.016051,118.798371,小区
秦虹路98号,南京市红十字会文安里小区衣物捐赠箱,32.012633,118.803105,小区
璇子巷32-34号,实辉巷社区文化活动室,32.016502,118.781891,小区
大明路238号,风光里小区,31.997177,118.805252,小区
一品嘉园11幢(燕来轩),一品嘉园-11幢(燕来轩),32.018075,118.790450,小区
文安街165号,红花村,32.013663,118.802114,小区
